what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1361977455636
locale,sysinfo,,,"en_IN",1361977455636
processors,sysinfo,,,"4",1361977455636
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1361977455636
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1361977455636
java.specification.name,sysinfo,,,"Java Platform API Specification",1361977455636
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361977455636
java.specification.version,sysinfo,,,"1.6",1361977455636
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1361977455637
java.version,sysinfo,,,"1.6.0_31",1361977455637
java.vm.info,sysinfo,,,"mixed mode",1361977455637
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1361977455637
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1361977455637
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361977455637
java.vm.specification.version,sysinfo,,,"1.0",1361977455637
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1361977455637
java.vm.version,sysinfo,,,"20.6-b01",1361977455637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361977455657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361977457219
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1361977457357
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1361977457365
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1361977459620
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1361977459810
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1361977460186
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1361977460187
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1361977460207
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1361977460208
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1361977460276
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1361977460277
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1361977460426
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1361977460434
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1361977462510
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1361977462572
